eng,hin,original_response_mistral
maitrologist,मैट्रोलॉजिस्ट,मैट्रोलॉजिस्ट
phwcs,पीएचडब्ल्यूसीएस,फाइसबीसीएस
pratidwandiyon,प्रतिद्वन्दियों,प्रतिद्वन्दियों
pratiyukti,प्रतियुक्ति,प्रतियुक्ति
eksisatens,एक्सिसटेंस,एक्सीसाटेंस
filmnirmata,फ़िल्मनिर्माता,फिल्मनिर्माता
adrgh,अद्र्घ,अदृघ
ladhege,लड़ेगे,लड़ेगे
administresh,एडमिनिस्ट्रेश,अद्मिनिस्ट्रेशन
shiwalapurwa,शिवालापुरवा,शिवालपुर्वा
nirmaali,निर्माली,निर्माली
chootie,चूतीए,चूटी
kursiyo,कुर्सियॉ,कुर्सियो
parivaarwaale,परिवारवाले,परिवारवाले
vyavasthawirodhi,व्यवस्थाविरोधी,व्यवस्थाविरोधी
enseeaardablyusee,एनसीआरडब्ल्यूसी,एन्सीआरएएस्सीयूएसी
yaarab,यारब,याराब
shivaalapurva,शिवालापुरवा,शिवालापुर्वा
deedablyuen,डीडब्ल्यूएन,दीड़बल्यूएन
praansangalee,प्राणसंगली,प्राणसंगली
sainapur,सैनपुर,साइनापुर
dimak,दिमाक,दीमाक
jyadaa,ज़यादा,ज्यादा
jadule,जडूले,जादूले
baatah,बातः,बाताह
viraangnaaon,वीरांगनाओं,विरांग्नाओं
udhegee,उड़ेगी,उड़ेगी
wishwas,विष्वास,विश्वास
aaryanas,आर्यनस,आऱ्यानास
shamtal,शमलात,शम्ताल
chatakate,चटकाते,चॅतकते
moujud,मौजुद,मौजुद
dhumrapaan,धुम्रपान,धुमरापान
adivadiyon,आदिवादियों,अदिवादियों
kavyavidhaaon,काव्यविधाओं,काव्यविधाओं
vigyaanavaadiyon,विज्ञानवादियों,विज्ञानवादियों
tinkaa,टिंका,तिन्का
neemkathana,नीमकाथाना,नीमकथना
rajnitikaaron,राजनीतिकारों,राजनीतिकारों
ubaala,उबाला,उबाला
khaayal,क़ायल,खायाल
jivati,जीवति,जिवति
