,eng,hin,original_response_mistral,processed_mistral
0,maitrologist,मैट्रोलॉजिस्ट,मैट्रोलॉजिस्ट,मैट्रोलॉजिस्ट
1,phwcs,पीएचडब्ल्यूसीएस,फाइसबीसीएस,फाइसबीसीएस
2,pratidwandiyon,प्रतिद्वन्दियों,प्रतिद्वन्दियों,प्रतिद्वन्दियों
3,pratiyukti,प्रतियुक्ति,प्रतियुक्ति,प्रतियुक्ति
4,eksisatens,एक्सिसटेंस,एक्सीसाटेंस,एक्सीसाटेंस
5,filmnirmata,फ़िल्मनिर्माता,फिल्मनिर्माता,फिल्मनिर्माता
6,adrgh,अद्र्घ,अदृघ,अदृघ
7,ladhege,लड़ेगे,लड़ेगे,लड़ेगे
8,administresh,एडमिनिस्ट्रेश,अद्मिनिस्ट्रेशन,अद्मिनिस्ट्रेशन
9,shiwalapurwa,शिवालापुरवा,शिवालपुर्वा,शिवालपुर्वा
10,nirmaali,निर्माली,निर्माली,निर्माली
11,chootie,चूतीए,चूटी,चूटी
12,kursiyo,कुर्सियॉ,कुर्सियो,कुर्सियो
13,parivaarwaale,परिवारवाले,परिवारवाले,परिवारवाले
14,vyavasthawirodhi,व्यवस्थाविरोधी,व्यवस्थाविरोधी,व्यवस्थाविरोधी
15,enseeaardablyusee,एनसीआरडब्ल्यूसी,एन्सीआरएएस्सीयूएसी,एन्सीआरएएस्सीयूएसी
16,yaarab,यारब,याराब,याराब
17,shivaalapurva,शिवालापुरवा,शिवालापुर्वा,शिवालापुर्वा
18,deedablyuen,डीडब्ल्यूएन,दीड़बल्यूएन,दीड़बल्यूएन
19,praansangalee,प्राणसंगली,प्राणसंगली,प्राणसंगली
20,sainapur,सैनपुर,साइनापुर,साइनापुर
21,dimak,दिमाक,दीमाक,दीमाक
22,jyadaa,ज़यादा,ज्यादा,ज्यादा
23,jadule,जडूले,जादूले,जादूले
24,baatah,बातः,बाताह,बाताह
25,viraangnaaon,वीरांगनाओं,विरांग्नाओं,विरांग्नाओं
26,udhegee,उड़ेगी,उड़ेगी,उड़ेगी
27,wishwas,विष्वास,विश्वास,विश्वास
28,aaryanas,आर्यनस,आऱ्यानास,आऱ्यानास
29,shamtal,शमलात,शम्ताल,शम्ताल
30,chatakate,चटकाते,चॅतकते,चॅतकते
31,moujud,मौजुद,मौजुद,मौजुद
32,dhumrapaan,धुम्रपान,धुमरापान,धुमरापान
33,adivadiyon,आदिवादियों,अदिवादियों,अदिवादियों
34,kavyavidhaaon,काव्यविधाओं,काव्यविधाओं,काव्यविधाओं
35,vigyaanavaadiyon,विज्ञानवादियों,विज्ञानवादियों,विज्ञानवादियों
36,tinkaa,टिंका,तिन्का,तिन्का
37,neemkathana,नीमकाथाना,नीमकथना,नीमकथना
38,rajnitikaaron,राजनीतिकारों,राजनीतिकारों,राजनीतिकारों
39,ubaala,उबाला,उबाला,उबाला
40,khaayal,क़ायल,खायाल,खायाल
41,jivati,जीवति,जिवति,जिवति
42,rookvaaee,रुकवाई,रूकवाई,रूकवाई
43,nigmaayukt,निगमायुक्त,निग्मायुक्त,निग्मायुक्त
44,uthaaeange,उठाएँगे,उठाएंगे,उठाएंगे
45,badhane,बड़ने,बधने,बधने
46,hathdharmitaa,हठधर्मिता,हठधर्मिता,हठधर्मिता
47,extremadura,एक्स्ट्रीमाडुरा,एक्स्TREEमादुरा,एक्स्TREEमादुरा
48,samruddhiyon,समृद्धियों,सम्रुद्धियों,सम्रुद्धियों
49,rodrej,रोडरेज,रोडरेज,रोडरेज
50,lubhaavna,लुभावना,लुभावना,लुभावना
51,tinka,टिंका,तिंका,तिंका
52,jhaugunj,झाउगंज,झौगँज,झौगँज
53,antarwisht,अंतर्विष्ट,अन्तरविष्ट,अन्तरविष्ट
54,istraailiyon,इस्त्राइलियों,इस्ट्रेलाइयों,इस्ट्रेलाइयों
55,nyootriyo,न्यूट्रियो,न्यूत्रियो,न्यूत्रियो
56,mukhyaadhyaapika,मुख्याध्यापिका,मुख्याध्यापिका,मुख्याध्यापिका
57,antarraajyikaran,अंतरराज्यीकरण,अन्तरराज्यिकरण,अन्तरराज्यिकरण
58,khaarakon,खारकों,खारकों,खारकों
