picot,पिकॉट
jaygangajal,जयगंगाजल
birjisia,बिरजीसिया
stuartbinni,स्टुअर्टबिन्नी
pravrit,प्रवृत
surdaha,सुरदहा
finmark,फिनमार्क
muhurtakal,मुहूर्तकाल
simadevi,सीमादेवी
quadrooters,क्वैडरूटर्स
zola,ज़ोला
rahulbhadra,राहुलभद्र
sarnsammati,सर्नसम्मति
thorson,थोर्सन
ghaagh,घाघ
citry,सिट्री
lalochhi,ललोछी
imlauta,इमलौटा
kavyetri,कव्येत्री
tenia,तेनिया
saulah,सौलह
georgesh,जार्जेश
pegging,पैगिंग
urjapurna,उर्जापूर्ण
coen,कोआन
financing,फाइनांसिंग
tartudichya,तरतुदीच्या
harroboat,हैरोबोट
khanakane,खनकने
bhaujich,भौजीच
sahyogika,सहयोगिका
akrmak,अकर्मक
parichitaah,परिचिताह
prsnskaran,प्रसंस्करण
bahaake,बहाके
ecbt,ईसीबीटी
makaju,मकाजू
woodered,वूडर्ड
railgaadiyon,रेलगाडियों
chhedbahut,छेदबहुत
attrial,अट्रियल
bhashansathi,भाषांसाठी
nambala,नंबला
betzabeth,बेत्जाबेथ
helang,हेलांग
baithakibaddal,बैठकीबद्दल
jhadiyan,झाडियां
paramprakash,परमप्रकाश
rickw,रिक्व
dhanchara,धानचारा
refined,रिफाइ्ंड
parliamentarian,पार्लियामेंट्रियन
bookston,बुक्सटन
amush,अमुश
chetiram,चेतीराम
helicopterchi,हेलिकॉप्टरची
daubalya,दौबल्य
nasset,नैसेट
chintanaatmak,चिंतनात्मक
ayabai,आयाबाई
yatharthashrit,यथार्थाश्रित
yutibabat,युतीबाबात
chhevale,छेवले
dhyanubhakt,ध्यानुभक्त
pratyaropancha,प्रत्यारोपांचा
barmal,बरमल
parakramabahu,पराक्रमबाहु
shahawali,शहावली
pradarshanahi,प्रदर्शनही
niyamanchihi,नियमांचीही
ambon,अम्बोन
tuc,टीयूसी
amardei,अमरदेई
kakrot,ककरोट
dhadsabaddal,धाडसाबद्दल
bhotathana,भोटाथाना
siholi,सिहोली
aakshaadit,आक्षादित
alona,अलॉना
yukharist,युखारिस्त
roadline,रोडलाइन
maister,मेस्टर
ariyavan,अरियावां
navjawano,नवजवानो
bostwana,बोस्त्वाना
apparel,एपेरेल
vyangyarth,व्यंग्यार्थ
vishaybhogi,विषयभोगी
mahaka,महाका
farooqui,फ़ारूक़ी
vishnuanna,विष्णुअण्णा
ghatakhedi,घाटाखेड़ी
bemelta,बेमेलता
filesharing,फ़ाइलशेयरिंग
preventing,प्रिवेंटिंग
arhantonko,अरहंतोंको
anantad,अनंतद
bikhrayee,बिखराये
netaonka,नेताओंका
gondwana,गोंदवाना
karunmayi,करूणमयी
bumbru,बम्ब्रू
ataily,अटेली
phonofilm,फ़ोनोंफिल्म
tandri,तन्द्री
shalit,शैलिट
keckpill,केकपिल
asadrishon,असदृशों
decreetal,डिक्रीत
bansdohar,बांसदोहर
semarwar,सेमरवार
banting,बैंटिंग
steinmetz,स्टाइनमेट्ज़
dilvaaeen,दिलवाईं
impowerment,इमपॉवरमेंट
statistically,स्टैटिस्टिकल
drishyachitra,दृश्यचित्र
patrvyavahaar,पत्रव्यवहार
igarka,इगरका
diljalo,दिलजलो
jabeli,जबेली
puraanen,पुरानें
kazimabad,काजिमाबाद
gururaja,गुरूराजा
chubhalaane,चुभलाने
thitewadi,थिटेवाडी
blacktip,ब्लैकटिप
hukmdev,हुकुमदेव
arunnu,अरुणू
biphar,बिफर
hattekar,हट्टेकर
sidbi,सिडबी
havoora,हवूरा
pardsany,पर्दसानी
sikhwa,सिखवा
maandhanaavareel,मानधनावरील
nesro,नेस्रो
arap,एआरएपी
lagin,लगीं
harashch,हरश्च
commissionerse,कमिशनर्स
syohla,स्योहला
voyath,वोयथ
mihidana,मिहीदाना
akritiwali,आकृतिवाली
pahanvaate,पहनवाते
larikote,लारीकोट
tarangdaidharya,तरंगदैधर्य
vanadhikarihi,वनाधिकारीही
makemy,मेकमाय
ravisubramanian,रविसुब्रमण्यन
samser,शमशेर
khokpa,खोकपा
dhawai,धवई
selender,सेलेन्डर
prakatataya,प्रकटतया
imgt,आईएमजीटी
waracha,वाराचा
harmadal,हरमदल
sadaakiyaa,सड़ाकिया
durishetty,दुरिशेट्टी
methology,मिथॉलॉजी
kailashwar,कैलाश्वर
sabhasadache,सभासदाचे
samajaavu,समजावू
goodey,गूदे
centegrade,सेंटिग्रेड
bhimad,भिमाद
driny,ड्रिनी
bhadudi,भादुड़ी
companynchya,कंपनींच्या
aantaritak,आंतरितक
sweekritoparant,स्वीकृतोपरान्त
brokenhill,ब्रोकेनहिल
stipend,स्टाइपेंड
belmukhtar,बेलमुख्तार
sivi,सिवि
islamaphobia,इस्लामाफोबिया
epigraphy,एपिग्राफी
schooming,स्कूमिंग
bausipan,बौसीपन
nagolia,नागोलिया
ahmadinizad,अहमदीनीजाद
tobogganing,टोबॉगनिंग
davinder,दविंद्र
kawapal,कावापाल
babylonian,बाबुलियों
linguistics,लिंग्विस्टिक्स
tekavale,टेकवले
feedel,फीडेल
diosgenine,डायोसजेनिन
lagaato,लगातो
douts,डाउट्स
ramagundem,रामगुंडम
boyu,बोयु
rangjisha,रंगजिशा
wostshire,वोस्टशायर
faihraya,फैहराया
taranjit,तरणजीत
gorigam,गोरीगाम
tanabad,तानाबाद
shida,शिदा
csba,सीएसबीए
baarisho,बारिशों
adolescents,एडोलेसेन्टस
panchmark,पंचमार्क
preyaanusheeli,प्रेयानुशीली
morden,मॉर्डेन
bandhanyachya,बांधण्याच्या
saubir,सौबीर
vichpurbiana,विचपुरबियाना
dashaaye,दशाए
gadhipir,गढ़ीपीर
padmapuram,पद्मपुरम
metabolism,मेटाबॉलिज्म
bathum,बाथूम
raaeefal,राईफल
girahadaar,गिरहदार
raynier,रेनियर
bhirkhi,भीरखी
kapatbhari,कपटभरी
rajyabhishak,राज्याभिषक
muzaffargarh,मुज़फ़्फरगढ़
paripakwapartanar,परिपक्वपार्टनर
matihal,मतिहल
widow,विधेवा
ahmadinizad,अहमदीनिजाद
morningside,मॉर्निंगसाइड
jasnai,जसनई
uzgul,उज़गुल
patpanyache,पाटपाण्याचे
takwir,तकविर
panchdev,पंचदेव
inflammatory,इन्फ्लैमैटरी
pradattan,प्रदत्तन
neelvasant,नीलवसंत
intelsanter,इंटेलसेन्टर
ontario,ओनटारियो
shivtandav,शिवताण्डव
manasputra,मानसपुत्र
geyserite,गेसेराइट
samanjasyon,सामंजस्यों
belgundi,बेलगुंदी
sajdeh,सजदेह
wanaparthi,वानपर्ति
hegc,एचईजीसी
satyanarayanaya,सत्यनारायणाय
coca,कोका
mamlook,मामलुक
beedari,बीदरी
shankhshreshth,शंखश्रेष्ठ
chirantananda,चिरंतनानंद
somanatheshwar,सोमनाथेश्वर
prabhagansathi,प्रभागांसाठी
uzoma,उजोमा
mahamilawat,महामिलावट
shilpotsav,शिल्पोत्सव
swabhavikta,स्वाभाविकता
keketi,केकेटी
nicotus,निकोटस
aadhshankaracharya,आधशंकराचार्य
moortidevi,मूर्तिदेवी
uttakhand,उत्तखंड
ranglok,रंगलोक
anukhan,अनुखन
ghasola,घसौला
administrators,एडमिनिसट्रेटर्स
ahamadgarh,अहमदगढ़
zanzeer,ज़ंजीर
chitungey,चिटुंगे
dharpa,धरपा
ruvananthapuram,रुवनंतपुरम
vaiddhik,वैद्धिक
paristhiyonvash,परिस्थियोंवश
upendranath,उपेंद्रनाथ
chonel,चोनेल
sahlul,सहलुल
okhomor,ओखोमोर
sambhraat,सम्भ्रात
kaaha,काहा
mahansagh,महांसघ
unkaaparivaar,उनकापरिवार
sinchancha,सिंचनचा
subthread,उपथ्रेड
muktinathananda,मुक्तिनाथानन्द
chirodi,चिरोड़ी
dasse,डाससे
vamrat,वम्राट
yalat,यालात
ulthi,उलथी
ekbandh,एकबंध
byre,बेरे
anantasubraman,अनंतसुब्रमण्
nayantare,नयनतारे
vegenosis,वेजीनोसिस
jostine,जोस्टिन
praaha,प्राहा
toulouse,टूलूस
murkhanand,मुर्खानंद
baghpati,बागपती
markle,मर्केल
lagjariya,लग्जरिया
moudgil,मौदगिल
harishankari,हरिशंकरी
gangdei,गंगदेई
ramcharan,रामचरन
guglielmo,गुगलिएल्मो
bierce,बेयर्स
bharatvanshiyonmein,भरतवंशियोंमें
vibhashchandra,विभाषचंद्र
interested,इन्टरेस्टेड
umuariam,उमुरीअम
majhgaan,मझगान
kalabati,कलाबती
dhavaleswaram,दावलेश्वरम
shastraanvareel,शस्त्रांवरील
saarang,सारंग
chhatruram,छत्रूराम
himakatkaro,हिमाकतकारो
vadakar,वडाकर
mansaja,मंसजा
pandwala,पंडवाला
copepods,कोपोड्स
jhooriyo,झूरियो
mant,मंत
ipn,आइपीएन
synthol,सिन्थॉल
jhatakanen,झटकनें
hridaysamrat,हृदयसम्राट
petrolingchi,पेट्रोलिंगची
birhar,बिरहर
mustafai,मुस्तफई
sanshleshik,संश्लेषिक
kargili,करगिली
hyderabadchi,हैदराबादची
leapins,लीपिंस
varenyo,वरेण्यो
microcurrent,माइक्रोकरंट
suryavanshan,सूर्यवंशन
naaqaabile,नाक़ाबिले
bharaavyaachi,भराव्याची
encrypson,एन्क्रिप्सन
hangamebaji,हंगामेबाजी
maniyen,मनियें
chamoda,चमोड़ा
palaticed,पेलेटिस्ड
